,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
2482,The wine list is interesting and has many good values.,1,the wine list is interesting and has many good values,"['the', 'wine', 'list', 'is', 'interesting', 'and', 'has', 'many', 'good', 'values']",wine list interesting and many good value,wine list interesting and many good value
2483,This restaurant used to be our regular Thursday night dinner location.,1,this restaurant used to be our regular thursday night dinner location,"['this', 'restaurant', 'used', 'to', 'be', 'our', 'regular', 'thursday', 'night', 'dinner', 'location']",restaurant used regular thursday night dinner location,restaurant used regular thursday night dinner location
2484,Definite go if you're used to good Indian restaurant food from abroad.,1,definite go if you're used to good indian restaurant food from abroad,"['definite', 'go', 'if', ""you're"", 'used', 'to', 'good', 'indian', 'restaurant', 'food', 'from', 'abroad']",definite go used good indian restaurant food abroad,definite go used good indian restaurant food abroad
2485,"THE ATMOSHPHERE IS COMPACT, MODERN, YET COZY.",1,the atmoshphere is compact  modern  yet cozy,"['the', 'atmoshphere', 'is', 'compact', 'modern', 'yet', 'cozy']",atmoshphere compact modern yet cozy,atmoshphere compact modern yet cozy
2486,"By far, the best pizza in Manhattan.",1,by far  the best pizza in manhattan,"['by', 'far', 'the', 'best', 'pizza', 'in', 'manhattan']",far best pizza manhattan,far best pizza manhattan
2487,"The food is mostly made from scratch, fresh and well prepared.",1,the food is mostly made from scratch  fresh and well prepared,"['the', 'food', 'is', 'mostly', 'made', 'from', 'scratch', 'fresh', 'and', 'well', 'prepared']",food mostly made scratch fresh and well prepared,food mostly made scratch fresh and well prepared
2488,Try the dish made of sea bass.,1,try the dish made of sea bass,"['try', 'the', 'dish', 'made', 'of', 'sea', 'bass']",try dish made sea bass,try dish made sea bass
2489,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,1,$20 gets you unlimited sushi of a very high quality- i even took a friend here from japan who said it was one of the best sushi places in the us that he has been to,"['$20', 'gets', 'you', 'unlimited', 'sushi', 'of', 'a', 'very', 'high', 'quality-', 'i', 'even', 'took', 'a', 'friend', 'here', 'from', 'japan', 'who', 'said', 'it', 'was', 'one', 'of', 'the', 'best', 'sushi', 'places', 'in', 'the', 'us', 'that', 'he', 'has', 'been', 'to']",$20 get unlimited sushi very high quality- even took friend japan said one best sushi place u,$20 get unlimited sushi very high quality- even took friend japan said one best sushi place u
2490,I brought some buddies from CA and they loved it.,1,i brought some buddies from ca and they loved it,"['i', 'brought', 'some', 'buddies', 'from', 'ca', 'and', 'they', 'loved', 'it']",brought buddy ca and loved,brought buddy ca and loved
2491,"During our meal, the management came over and checked on us and even bought us a round of drinks.",1,during our meal  the management came over and checked on us and even bought us a round of drinks,"['during', 'our', 'meal', 'the', 'management', 'came', 'over', 'and', 'checked', 'on', 'us', 'and', 'even', 'bought', 'us', 'a', 'round', 'of', 'drinks']",meal management came and checked u and even bought u round drink,meal management came and checked u and even bought u round drink
2492,A must for all the Dosa lovers.,1,a must for all the dosa lovers,"['a', 'must', 'for', 'all', 'the', 'dosa', 'lovers']",must dosa lover,must dosa lover
2493,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",1,the portions are huge  so it might be good to order three things to split (rather than one appetizer and entree per person) for two people,"['the', 'portions', 'are', 'huge', 'so', 'it', 'might', 'be', 'good', 'to', 'order', 'three', 'things', 'to', 'split', '(rather', 'than', 'one', 'appetizer', 'and', 'entree', 'per', 'person)', 'for', 'two', 'people']",portion huge might good order three thing split (rather one appetizer and entree per person) two people,portion huge might good order three thing split (rather one appetizer and entree per person) two people
2494,The exotic food is beautifully presented and is a delight in delicious combinations.,1,the exotic food is beautifully presented and is a delight in delicious combinations,"['the', 'exotic', 'food', 'is', 'beautifully', 'presented', 'and', 'is', 'a', 'delight', 'in', 'delicious', 'combinations']",exotic food beautifully presented and delight delicious combination,exotic food beautifully presented and delight delicious combination
2495,The staff is very attentive and we can almost always get a table.,1,the staff is very attentive and we can almost always get a table,"['the', 'staff', 'is', 'very', 'attentive', 'and', 'we', 'can', 'almost', 'always', 'get', 'a', 'table']",staff very attentive and almost always get table,staff very attentive and almost always get table
2496,"Try the mediterranean salad, it is a true experience for your taste buds!!",1,try the mediterranean salad  it is a true experience for your taste buds,"['try', 'the', 'mediterranean', 'salad', 'it', 'is', 'a', 'true', 'experience', 'for', 'your', 'taste', 'buds']",try mediterranean salad true experience taste bud,try mediterranean salad true experience taste bud
2497,"Of course, it is crowded but who cares.",1,of course  it is crowded but who cares,"['of', 'course', 'it', 'is', 'crowded', 'but', 'who', 'cares']",course crowded but care,course crowded but care
2498,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,1,this quaint and romantic trattoria is at the top of my manhattan restaurant list,"['this', 'quaint', 'and', 'romantic', 'trattoria', 'is', 'at', 'the', 'top', 'of', 'my', 'manhattan', 'restaurant', 'list']",quaint and romantic trattoria top manhattan restaurant list,quaint and romantic trattoria top manhattan restaurant list
2499,I've been there three times and have always had wonderful experiences.,1,i've been there three times and have always had wonderful experiences,"[""i've"", 'been', 'there', 'three', 'times', 'and', 'have', 'always', 'had', 'wonderful', 'experiences']",I three time and always wonderful experience,I three time and always wonderful experience
2500,People are always friendly.,1,people are always friendly,"['people', 'are', 'always', 'friendly']",people always friendly,people always friendly
2501,The cream cheeses are out of this world and I love that coffee!!,1,the cream cheeses are out of this world and i love that coffee,"['the', 'cream', 'cheeses', 'are', 'out', 'of', 'this', 'world', 'and', 'i', 'love', 'that', 'coffee']",cream cheese world and love coffee,cream cheese world and love coffee
2502,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",1,from the entrees to the sides to the drinks  everything was creatively prepared yet still simple,"['from', 'the', 'entrees', 'to', 'the', 'sides', 'to', 'the', 'drinks', 'everything', 'was', 'creatively', 'prepared', 'yet', 'still', 'simple']",entree side drink everything creatively prepared yet still simple,entree side drink everything creatively prepared yet still simple
2503,Service was prompt and courteous.,1,service was prompt and courteous,"['service', 'was', 'prompt', 'and', 'courteous']",service prompt and courteous,service prompt and courteous
2504,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",1,chance is a small cozy restaurant  with a romantic feel to it  the decor is great,"['chance', 'is', 'a', 'small', 'cozy', 'restaurant', 'with', 'a', 'romantic', 'feel', 'to', 'it', 'the', 'decor', 'is', 'great']",chance small cozy restaurant romantic feel decor great,chance small cozy restaurant romantic feel decor great
2505,"Overall, worth every penny.",1,overall  worth every penny,"['overall', 'worth', 'every', 'penny']",overall worth every penny,overall worth every penny
2506,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",1,when i called this morning  i didn't think i would be able to get in at 12  but i was able to get in  along with four other guests,"['when', 'i', 'called', 'this', 'morning', 'i', ""didn't"", 'think', 'i', 'would', 'be', 'able', 'to', 'get', 'in', 'at', '12', 'but', 'i', 'was', 'able', 'to', 'get', 'in', 'along', 'with', 'four', 'other', 'guests']",called morning not think would able get 12 but able get along four guest,called morning not think would able get 12 but able get along four guest
2507,"Only wine and beer are served, but the house varities are actually quite good.",1,only wine and beer are served  but the house varities are actually quite good,"['only', 'wine', 'and', 'beer', 'are', 'served', 'but', 'the', 'house', 'varities', 'are', 'actually', 'quite', 'good']",wine and beer served but house varities actually quite good,wine and beer served but house varities actually quite good
2508,My mouth starts to water merely thinking about the delight that is this restaurant.,1,my mouth starts to water merely thinking about the delight that is this restaurant,"['my', 'mouth', 'starts', 'to', 'water', 'merely', 'thinking', 'about', 'the', 'delight', 'that', 'is', 'this', 'restaurant']",mouth start water merely thinking delight restaurant,mouth start water merely thinking delight restaurant
2509,"Oh, and the complimentary pudding dessert was just enough- yummy!",1,oh  and the complimentary pudding dessert was just enough- yummy,"['oh', 'and', 'the', 'complimentary', 'pudding', 'dessert', 'was', 'just', 'enough-', 'yummy']",oh and complimentary pudding dessert enough- yummy,oh and complimentary pudding dessert enough- yummy
2510,we split a tasty vegetable samosa and the malai tikka wrap.,1,we split a tasty vegetable samosa and the malai tikka wrap,"['we', 'split', 'a', 'tasty', 'vegetable', 'samosa', 'and', 'the', 'malai', 'tikka', 'wrap']",split tasty vegetable samosa and malai tikka wrap,split tasty vegetable samosa and malai tikka wrap
2511,Go with a group of friends and you will have a great time.,1,go with a group of friends and you will have a great time,"['go', 'with', 'a', 'group', 'of', 'friends', 'and', 'you', 'will', 'have', 'a', 'great', 'time']",go group friend and great time,go group friend and great time
2512,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",1,it saves walking in and waiting for a table in the often noisy  crowded bar at dinnertime,"['it', 'saves', 'walking', 'in', 'and', 'waiting', 'for', 'a', 'table', 'in', 'the', 'often', 'noisy', 'crowded', 'bar', 'at', 'dinnertime']",save walking and waiting table often noisy crowded bar dinnertime,save walking and waiting table often noisy crowded bar dinnertime
